Lat,Long
9.0297,38.7186
9.02922,38.7386
9.02868,38.7362
9.02816,38.7347
9.02942,38.734
9.02549,38.7264
9.02304,38.7351
9.0234,38.7351
9.02364,38.7366
9.02337,38.7383
9.02602,38.7368
9.03917,38.7328
9.02654,38.7353
9.01863,38.7291
9.01933,38.7368
9.03033,38.743
9.03163,38.7423
9.03242,38.7408
9.03544,38.74
9.0431,38.7366
9.03829,38.7358
9.03165,38.7262
9.03174,38.7292
9.02892,38.7286
9.02934,38.7305
9.03533,38.731
9.03226,38.7351
9.03227,38.7258
9.02965,38.7267
9.02361,38.7404
9.03252,38.7397
9.02799,38.7334
9.02555,38.7258
9.03284,38.7228
9.03584,38.7257
9.0295,38.7355
8.95027,38.768
8.90738,38.7747
8.8794,38.762
8.88255,38.7858
8.87236,38.777
8.87284,38.7809
8.86561,38.7836
8.87084,38.7904
8.8676,38.7912
8.86361,38.7879
8.86313,38.789
8.95303,38.767
8.86108,38.7934
8.86194,38.7923
8.85928,38.8035
8.89583,38.8095
8.94825,38.7717
8.94411,38.7724
8.93102,38.7767
8.89315,38.7528
8.90348,38.7691
8.90245,38.768
8.9039,38.7737
8.89723,38.7703
8.87376,38.7923
8.87902,38.7629
8.86506,38.7839
8.95116,38.7676
9.03348,38.7426
9.0337,38.7584
9.03399,38.7583
9.03482,38.7578
9.02997,38.7503
9.03123,38.7505
9.03028,38.7514
9.0298,38.7529
9.02873,38.7518
9.02883,38.7531
9.0267,38.7527
9.03297,38.7453
9.0258,38.7532
9.02489,38.7541
9.027,38.7537
9.0262,38.7548
9.02675,38.7541
9.02761,38.7554
9.0281,38.7555
9.02647,38.7563
9.02818,38.7563
9.03022,38.7566
9.04363,38.7453
9.03062,38.7579
9.0287,38.7581
9.02913,38.7588
9.02732,38.7582
9.02554,38.7595
9.02455,38.7608
9.02483,38.763
9.02432,38.7641
9.02068,38.7601
9.0386,38.7677
9.03827,38.7476
9.0394,38.7663
9.03692,38.771
9.03342,38.7774
9.03146,38.7777
9.0307,38.7704
9.02743,38.7693
9.0231,38.77
9.04772,38.751
9.04517,38.7431
9.03976,38.7665
9.03828,38.7506
9.03832,38.7547
9.03515,38.7508
9.03383,38.7506
9.03273,38.7589
9.038,38.7422
9.03239,38.7558
9.02769,38.779
9.04847,38.7444
9.03248,38.7469
9.04092,38.747
9.0371,38.7466
9.0392,38.7622
9.0346,38.7632
9.033,38.7698
8.99636,38.7838
8.97879,38.7779
8.98045,38.7776
8.97867,38.7762
8.98562,38.7851
8.94789,38.7837
9.01046,38.7894
9.00823,38.7898
9.01336,38.8007
9.01077,38.7962
9.00856,38.8002
8.99664,38.7826
9.00605,38.7989
9.00593,38.8041
9.00411,38.7908
8.99786,38.7906
8.99531,38.788
8.98509,38.7946
8.98775,38.794
8.9904,38.7967
8.99863,38.8031
8.99526,38.8101
8.99788,38.7829
8.99072,38.8105
8.99115,38.8101
8.99863,38.8142
8.98595,38.8339
8.98281,38.8373
9.00281,38.8118
9.00721,38.8266
9.0124,38.8236
9.01532,38.8231
9.01565,38.8221
8.99868,38.7828
9.01472,38.8359
9.01532,38.8437
9.01542,38.8613
9.01589,38.8619
9.00762,38.7782
9.00193,38.7845
9.00104,38.7833
9.00485,38.7837
9.00669,38.7854
8.9775,38.7768
9.00875,38.8281
9.0031,38.7972
9.00072,38.7916
8.99196,38.8114
8.9878,38.7837
8.983,38.7833
9.0006,38.7799
9.00893,38.7858
9.01135,38.79
9.00593,38.7908
9.01541,38.8122
8.98571,38.796
8.99033,38.7978
8.99104,38.8162
9.04327,38.7317
9.04978,38.7377
9.05381,38.7393
9.0564,38.7431
9.05952,38.7468
9.06116,38.7511
9.05815,38.7545
9.05869,38.7541
9.06638,38.7626
9.05987,38.7644
9.05655,38.7632
9.04423,38.7637
9.05381,38.7622
9.04616,38.7606
9.04586,38.7648
9.04821,38.7242
9.06315,38.7217
9.05615,38.7219
9.05368,38.7204
9.04862,38.7243
9.04992,38.7229
9.05028,38.7227
9.0623,38.7368
9.06892,38.7391
9.05028,38.7318
9.05312,38.7537
9.05124,38.7606
9.04687,38.7701
9.05965,38.7219
9.05561,38.7295
9.05581,38.7367
9.05156,38.7369
9.05098,38.746
9.04457,38.7309
9.07115,38.7604
9.01076,38.7596
8.99761,38.7564
9.00677,38.7557
9.00632,38.758
9.00653,38.7617
9.00156,38.7617
8.99561,38.762
8.99632,38.7699
8.99851,38.7712
8.99996,38.7707
8.99458,38.7499
9.01107,38.7593
8.99856,38.7452
8.99967,38.745
8.99239,38.7496
8.99306,38.7483
8.99013,38.7523
8.98788,38.7509
8.98257,38.7527
8.99169,38.7611
8.99319,38.7613
8.99105,38.7646
9.01137,38.759
8.99064,38.7731
8.98364,38.7645
8.98419,38.7616
8.981,38.7607
9.01622,38.7693
9.01429,38.7716
9.01228,38.7741
9.01115,38.7756
9.00948,38.7744
9.01238,38.7788
9.01706,38.759
9.00316,38.7481
8.99757,38.7481
8.99858,38.751
8.99739,38.7652
9.00956,38.7792
9.00944,38.7748
8.9896,38.7419
8.98724,38.7733
9.01468,38.7595
9.01147,38.7586
8.99741,38.77
9.03812,38.7136
9.03446,38.7166
9.02461,38.7155
9.02507,38.7174
9.0307,38.7187
9.01259,38.7115
9.01893,38.7182
9.05456,38.6937
9.05886,38.6956
9.06252,38.6959
9.05951,38.7016
9.03755,38.7148
9.05534,38.7043
9.05368,38.71
9.04563,38.7081
9.0423,38.7039
9.03783,38.7023
9.03935,38.7019
9.04561,38.7171
8.99602,38.6847
8.99602,38.6823
8.9956,38.6818
9.03705,38.7159
8.99068,38.6883
9.00039,38.7016
9.00205,38.7033
9.00025,38.706
9.00516,38.7076
8.97809,38.7014
8.97795,38.6988
8.98312,38.7112
8.97869,38.7143
9.0139,38.7035
9.03972,38.7164
8.97471,38.6879
8.98889,38.7197
8.97609,38.715
9.02792,38.7177
9.0289,38.7119
9.02907,38.7127
9.02945,38.7136
9.03073,38.7143
9.03204,38.7155
9.04117,38.7143
9.01597,38.7075
8.99334,38.685
9.05209,38.6949
9.05486,38.713
9.00104,38.696
8.98139,38.7144
9.01654,38.7322
9.01725,38.743
9.01552,38.746
9.01489,38.749
9.01282,38.7471
9.01111,38.7456
9.01198,38.7462
9.01114,38.7383
9.01036,38.7527
8.99928,38.7436
9.00531,38.7454
9.01696,38.7338
9.00666,38.7387
9.00704,38.7347
9.00938,38.7302
9.00664,38.7249
9.00944,38.7237
9.01332,38.7313
9.01137,38.7209
8.98952,38.7192
9.01644,38.7357
9.02152,38.7427
9.02451,38.7492
9.02468,38.7497
9.02095,38.7494
9.0198,38.7519
9.01872,38.7516
9.02349,38.7497
9.01082,38.737
9.00118,38.7376
8.99418,38.7199
9.01969,38.7317
9.01233,38.7328
9.01326,38.7385
9.00206,38.7202
9.00171,38.7181
8.99152,38.719
9.00821,38.7413
9.00756,38.743
9.01632,38.7514
8.98889,38.7236
8.97693,38.7518
8.97634,38.7534
8.97594,38.7517
8.97538,38.7492
8.97221,38.7495
8.96976,38.7515
8.96719,38.7528
8.97214,38.7626
8.96361,38.7578
8.96912,38.7331
8.98745,38.7279
8.96296,38.7306
8.96299,38.7419
8.95639,38.7508
8.94867,38.7476
8.94878,38.7463
8.94646,38.7444
8.94273,38.7468
8.93831,38.7563
8.93888,38.7559
8.92963,38.7456
8.98491,38.7282
8.92853,38.7436
8.92659,38.7451
8.94922,38.7634
8.95139,38.763
8.95078,38.766
8.95624,38.769
8.95585,38.7721
8.95367,38.7747
8.95372,38.7727
8.99201,38.738
8.98769,38.7409
8.9831,38.7378
8.9832,38.7404
8.9811,38.7408
8.97799,38.7524
8.95887,38.7668
8.94385,38.7485
8.9902,38.7281
8.9922,38.7331
8.98383,38.7262
9.04045,38.7769
9.05233,38.7761
9.05248,38.7781
9.04803,38.7737
9.04578,38.7774
9.05579,38.7856
9.05732,38.7878
9.05496,38.7913
9.02242,38.7914
9.02253,38.7886
9.02448,38.7923
9.04094,38.7802
9.01608,38.7888
9.01217,38.7903
9.02128,38.7962
9.02017,38.7996
9.01606,38.7975
9.01686,38.7983
9.01461,38.7981
9.01568,38.8011
9.01705,38.8113
9.01884,38.8123
9.0421,38.7811
9.03051,38.8279
9.02293,38.8355
9.02657,38.8412
9.02775,38.8429
9.02953,38.8363
9.03222,38.8369
9.03309,38.841
9.03258,38.8365
9.03571,38.8587
9.01868,38.7846
9.01245,38.7845
9.05975,38.7719
9.05713,38.7754
9.05773,38.7749
9.054,38.775
9.06437,38.7925
9.03409,38.8172
9.02674,38.8316
9.04173,38.7754
9.04159,38.7871
9.01819,38.7764
9.01659,38.7872
9.05482,38.779
9.01628,38.828
9.05389,38.8713
9.03435,38.7782
9.03831,38.7843
9.01635,38.7891
9.01548,38.801
9.01449,38.798
13.342167,39.7517
13.86667,40.03333
11.29086667,40.45046667
10.043595,40.020762
11.91,41.83
14.20187,39.91468
11.4744,41.6797
13.232307,40.164925
13.21082,40.85212
11.8547,40.06988
12.459224,40.260593
9.32884,40.181097
9.1833,40.1666
13.36715,40.28321
13.3072,39.7783
9.746088,40.03533
9.15,39.9666
8.990683,40.157867
8.4,39.3333333
11.57065,41.426333
14.1835,40.25015
10.193,40.6188
11.797662,40.049843
10.15696667,40.6585
14.043753,39.905597
10.877825,40.21182
12.649802,40.320147
11.5041,41.5022
13.837167,40.0038
12.599346,42.266692
9.7,39.9
11.592433,40.029333
13.66762,40.08333
10.624467,40.309567
11.29987,40.51698
9.97465,40.53
12.06466667,41.9184833
9.316455,39.952606
9.15013,39.83317
11.6611,40.8494
11.0324,40.2018
11.67,41.08656667
11.540278,41.2825
9.549274,39.936086
10.8333,40.1666
11.91505,41.82635
12.350335,40.440909
12.320611,39.951191
11.724383,41.094
9.542563,37.05
11.733006,41.083333
10.3851,40.1917
11.26726,40.36682
12.064667,41.918483
11.37487,40.937424
13.18425,40.51667
10.6802,40.178
13.927592,39.894499
12.209904,39.854007
12.13885,39.95435
11.2833,41.1
11.3666,41.35
9.6713,39.93815
9.98504,40.489301
13.34216667,39.7517
9.680552,40.229496
10.156967,40.6585
12.44042459,39.89585244
11.5939,41.5534
10.212512,40.158854
11.6805,40.8233
11.9333,39.9833
12.1484413,39.917139
8.994363,40.166602
11.28,40.25
9.858218,40.072474
12.140867,39.975767
9.974956,40.141226
11.723018,40.976462
12.405929,42.182034
14.03358,40.14972
12.95,39.8166
9.335067,40.174417
9.40002,40.327234
11.5939,40.09515
9.87391,40.50633
11.417647,40.761563
11.73336,41.08364
9.254283,40.155767
13.90012,40.73369
9.108004,39.946371
12.097408,40.565975
9.355974,40.026301
11.790617,41.008333
11.9563,41.3113
9.392332,40.17882
11.6833,40.93325
12.84314,40.00898
10.92145,40.2058
11.59243333,40.0293333
13.934256,39.860592
12.358017,39.875867
10.43804576,38.57030762
11.02258635,38.14604904
12.42965187,37.21137712
10.64293966,36.45801602
13.731811,36.501446
11.68465196,39.0361298
11.68465196,39.03836054
11.14079875,39.89120789
11.05155819,37.15908116
13.14755336,38.90546418
13.04023967,38.98898326
12.92424095,38.94044225
12.86891848,39.23989742
12.89211822,39.26202641
13.21281008,38.6095782
10.45466927,38.88169776
10.46983834,38.89686683
10.46184037,38.61075845
10.79772729,37.93844106
13.466235,36.476858
12.2626137,37.24064449
11.32232505,37.14652945
10.98332525,37.85040101
10.67201816,38.85101263
10.67511146,38.84649165
12.18762102,36.19568833
10.81316779,38.73951109
12.07363013,39.67787422
11.67581399,39.61998392
11.68045394,39.64175598
12.17371636,39.19636649
10.82265404,37.52992016
12.87576115,36.73082911
10.91253628,37.84802154
10.9670981,39.79127053
11.20930065,37.08585319
11.97404702,37.85147399
11.096833,36.890167
10.97737659,37.9241643
12.121233,37.77405
10.3540173,37.61461625
12.25570382,38.15749647
13.17224199,37.36542144
11.25615,37.488633
11.17939361,39.01445186
13.53693405,38.36368465
13.22022779,37.56275808
13.443317,38.055117
12.64407105,38.14171068
11.21895,37.673583
12.58314125,38.7455406
11.57986007,39.57310171
12.12649909,38.25172313
12.04937434,36.69894433
12.00800193,38.31168555
10.75460777,36.9957742
11.54990809,38.52559909
11.25954009,39.89668378
11.56588289,39.66531265
11.33342524,37.7452424
11.19093322,37.83493451
9.783668689,39.88977363
12.71300602,36.32679663
11.60515969,37.70413721
11.42485603,38.09365696
10.9327617,37.82125261
11.33790457,37.57288127
13.40844315,38.47575727
11.9963672,39.2139745
12.11395933,37.64745901
12.05797061,38.28884272
10.66463404,37.14039446
10.49050318,37.66398531
10.6648307,36.57032658
11.86530832,39.29561381
12.01157112,38.21674505
10.76449323,40.00177664
10.79554519,40.00249048
10.8666,38.6666
11.2333,39.2333
11.72437018,38.31596858
10.63627717,36.54367661
11.70579942,38.87229399
11.089463,37.6321656
12.43134723,38.22166057
9.150688438,39.58726878
13.38488649,38.38795515
10.2488776,39.90191748
11.10320327,39.34854206
10.62169468,37.04789292
10.05805,38.9892
10.05839,38.993264
10.95399839,38.42272086
13.46914915,37.76504201
12.14788403,36.65397252
9.544078,39.802311
11.56775287,36.49970417
10.4395,37.559617
11.50256922,37.07990454
11.00111249,38.89916697
12.7685,37.619683
11.42078993,39.40420361
11.20426215,39.22903165
11.48506648,38.78783485
11.63634071,39.2169409
10.2645,37.839583
11.483333,39.166667
11.38181157,37.06443804
12.422467,38.70795
11.914664,37.883968
12.20057171,37.94298806
11.78797583,39.54938333
12.01725162,36.92880026
8.886052716,39.61928245
12.0159282,39.53867575
11.39001867,37.58418972
10.45662785,39.71127915
11.702667,37.624233
11.16551653,37.50281215
11.60912699,36.78032591
11.48115407,37.14950377
9.642507164,39.44332726
11.02496581,38.216838
10.74948372,38.04744021
10.67613314,36.67311929
10.45324082,38.0236456
11.56834892,38.60055211
11.46625865,36.74408327
10.01162105,39.45875489
10.01276319,39.46161024
11.87720562,39.48121177
11.89005471,39.47883231
11.57810471,38.27563671
10.191976,37.7124121
12.69618124,38.34729611
12.4738,37.8224
12.09564014,39.53451169
11.609133,38.5352
10.76624694,37.12760486
13.04367178,37.69933914
13.04700302,37.74026587
12.22712008,36.98091046
10.96311909,39.94459716
11.6872354,39.80522496
8.8333,39.4
11.87652575,38.87586318
11.80570834,37.8711548
11.51130004,39.09475557
11.51796253,39.09665914
9.870400042,39.8183898
11.2695962,38.12102076
11.67129723,38.69323955
12.88948271,38.15881306
10.52462465,37.96368318
10.88928526,37.10142227
10.94963794,37.38822326
10.6321595,39.87280986
12.19207787,39.35079351
9.871383553,39.5853898
10.62911547,39.79151049
10.63577796,39.78770335
12.23007702,37.79498559
12.91089786,38.00200658
10.335,39.956133
12.83594483,38.12312114
13.24426034,38.26517497
12.13616054,39.27643535
11.01632617,38.65589683
11.92076346,38.20750227
11.05530394,37.9771073
10.57933547,40.00950989
11.98083115,39.55295252
10.50169634,38.60183547
10.60693211,37.29743889
12.93374068,38.34512486
10.24724996,39.95133207
9.991276661,39.77151441
11.48006129,38.99874756
11.87840906,38.17276214
12.18717534,38.08754032
10.65329032,36.79637537
13.14265736,37.61938925
12.46204228,38.01250595
12.60439353,37.57900385
12.16300879,38.83766274
12.10709146,38.86859574
12.51367658,37.76516098
12.55305,37.068333
11.83437532,39.53260813
12.22532077,39.59935201
11.94836521,37.98383294
11.88624757,39.37746727
